名刺,めいし,noun,Meaning
郊外,こうがい,kougai,suburb; residential area
講義,こうぎ,kougi,lecture
工業,こうぎょう,kougyou,industry
工場,こうじょう,koujou,factory
高校,こうこう,koukou,high school
高校生,こうこうせい,koukousei,high school student
公務員,こうむいん,koumuin,government worker
高等学校,こうとうがっこう,koutougakkou,high school
交通,こうつう,koutsuu,traffic
首,くび,kubi,neck
雲,くも,kumo,cloud
草,くさ,kusa,grass
空気,くうき,kuuki,air
空港,くうこう,kuukou,airport
客,きゃく,kyaku,guest; customer
教育,きょういく,kyouiku,education
教会,きょうかい,kyoukai,church; Christian church
興味,きょうみ,kyoumi,interest; curiosity
競争,きょうそう,kyousou,competition
急行,きゅうこう,kyuukou,hurrying; rushing
漫画,まんが,manga,comic
真ん中,まんなか,mannaka,middle; centre; center
周り,まわり,mawari,around
港,みなと,minato,harbour
味噌,みそ,miso,fermented condiment made from soybeans
都,みやこ,miyako,capital
湖,みずうみ,mizuumi,lake
木綿,もめん,momen,cotton (material)
森,もり,mori,forest
昔,むかし,mukashi,"olden days, former"
無理,むり,muri,impossible
虫,むし,mushi,insect
息子,むすこ,musuko,son
娘,むすめ,musume,daughter
生,なま,nama,raw
寝坊,ねぼう,nebou,sleeping in late; oversleeping
値段,ねだん,nedan,price; cost
熱,ねつ,netsu,fever
二階建て,にかいだて,nikaidate,two-storied building
人形,にんぎょう,ningyou,doll
匂い,におい,nioi,a smell
喉,のど,nodo,throat
乗り物,のりもの,norimono,vehicle
入学,にゅうがく,nyuugaku,entry to school; enrollment
入院,にゅういん,nyuuin,hospitalization
踊り,おどり,odori,a dance
お祝い,おいわい,oiwai,congratulation
お嬢さん,おじょうさん,ojousan,(another's) daughter
屋上,おくじょう,okujou,rooftop
贈り物,おくりもの,okurimono,present; gift
お祭り,おまつり,omatsuri,festival
お見舞い,おみまい,omimai,visiting ill people
お土産,おみやげ,omiyage,souvenir
おもちゃ,,omocha,toy
表,おもて,omote,the front
オートバイ,,ootobai,motorcycle
お礼,おれい,orei,thanks
押し入れ,おしいれ,oshiire,closet
お宅,おたく,otaku,your home
音,おと,oto,sound; note
お釣り,おつり,otsuri,change (for a purchase)
夫,おっと,otto,husband
終わり,おわり,owari,the end
親,おや,oya,parents
泳ぎ方,およぎかた,oyogikata,way of swimming
パート,,paato,part; part time
パソコン,,pasokon,personal computer
ピアノ,,piano,piano
プレゼント,,purezento,present; gift
冷房,れいぼう,reibou,air conditioning
レジ,,reji,cashier
歴史,れきし,rekishi,history
レポート,,repooto,report
利用,りよう,riyou,use; utilization; application
理由,りゆう,riyuu,reason
留守,るす,rusu,absence
旅館,りょかん,ryokan,traditional Japanese inn
両方,りょうほう,ryouhou,both sides
最後,さいご,saigo,end; last
最近,さいきん,saikin,recently
最初,さいしょ,saisho,beginning; first
坂,さか,saka,slope; hill
昨夜,さくや,sakuya,last night
サンダル,,sandaru,sandal
サンドイッチ,,sandoicchi,sandwich
産業,さんぎょう,sangyou,industry
サラダ,,sarada,salad
再来月,さらいげつ,saraigetsu,month after next
再来週,さらいしゅう,saraishuu,week after next
生物,せいぶつ,seibutsu,living thing
政治,せいじ,seiji,politics
生活,せいかつ,seikatsu,to live
生命,せいめい,seimei,life
生産,せいさん,seisan,production
西洋,せいよう,seiyou,the west; Western countries
世界,せかい,sekai,the world
席,せき,seki,seat
線,せん,sen,line
背中,せなか,senaka,back (of body)
先輩,せんぱい,senpai,senior
戦争,せんそう,sensou,war
説明,せつめい,setsumei,explanation
社長,しゃちょう,shachou,company president
社会,しゃかい,shakai,society; public; community
市,し,shi,city
試合,しあい,shiai,"match,game"
仕方,しかた,shikata,way; method
試験,しけん,shiken,examination
島,しま,shima,island
市民,市民,shimin,citizen
品物,しなもの,shinamono,goods; article; thing
新聞社,しんぶんしゃ,shinbunsha,newspaper company
親切,しんせつ,shinsetsu,kindness
失敗,しっぱい,shippai,failure
下着,したぎ,shitagi,underwear
食料品,しょくりょうひん,shokuryouhin,food; groceries
小学校,しょうがっこう,shougakkou,elementary school
紹介,しょうかい,shoukai,introduction
将来,しょうらい,shourai,future
小説,しょうせつ,shousetsu,novel
