Kanji,Kanji Meaning,Onyomi Romaji,Onyomi Kana,Kunyomi Romaji,Kunyomi Kana
増,"increase, add",zou,ゾウ,"ma(su), fu(eru)","ま(す), ふ(える)"
係,"person in charge, connection",kei,ケイ,"kaka(ru), kakari","かか(る), かかり"
感,"emotion, feeling, sensation",kan,カン,,
情,"feelings, emotion, passion","jou, sei","ジョウ, セイ",nasa(ke),なさ(け)
投,"throw, discard",tou,トウ,na(geru),な(げる)
示,"show, indicate, display","ji, shi","ジ, シ",shime(su),しめ(す)
変,"unusual, change, strange",hen,ヘン,ka(waru),か(わる)
打,"strike, hit, knock",da,ダ,"u(tsu), bu(tsu)","う(つ), ぶ(つ)"
直,"straightaway, honesty, frankness, fix, repair","choku, jiki","チョク, ジキ","tada(chini), su(gu)","ただ(ちに), す(ぐ), なお, (す)"
両,both,ryou,リョウ,futatsu,ふたつ
式,"style, ceremony",shiki,シキ,,
確,"assurance, firm, confirm",kaku,カク,tashi(ka),たし(か)
果,"fruit, reward, carry out, achieve, complete",ka,カ,ha(tasu),は(たす)
容,"contain, form",you,ヨウ,i(reru),い(れる)
必,"invariably, certain, inevitable",hitsu,ヒツ,kanara(zu),かなら(ず)
演,"performance, act, play, render, stage",en,エン,,
歳,"age, year-end","sai, sei","サイ, セイ",toshi,とし
争,"contend, dispute, argue",sou,ソウ,araso(u),あらそ(う)
談,"discuss, talk",dan,ダン,,
能,"ability, talent, skill, capacity",nou,ノウ,,
位,"rank, grade, about",i,イ,"kurai, gurai","くらい, ぐらい"
置,"placement, put, set, deposit, leave behind",chi,チ,o(ku),お(く)
流,"current, flow","ryuu, ru","リュウ, ル",naga(reru),なが(れる)
格,"status, rank, capacity","kaku, kou, kyaku","カク, コウ, キャク",,
疑,"doubt, distrust",gi,ギ,utaga(u),うたが(う)
過,"overdo, exceed, go beyond",ka,カ,"su(giru), yogi(ru)","す(ぎる), よぎ(る)"
局,"bureau, board, office",kyoku,キョク,,
放,"set free, release",hou,ホウ,"hana(su), hou(ru)","はな(す), ほう(る)"
常,"usual, ordinary, normal",jou,ジョウ,tsune,つね
状,"conditions, form, appearance",jou,ジョウ,,
球,"ball, sphere",kyuu,キュウ,tama,たま
職,"post, employment, work",shoku,ショク,,
与,"give, award",yo,ヨ,"ata(eru), azuka(ru)","あた(える), あずか(る)"
供,"submit, offer, present, accompany","kyou, ku, kuu","キョウ, ク, クウ","sona(eru), tomo","そな(える), とも"
役,"duty, service, role","yaku, eki","ヤク, エキ",,
構,"posture, build, pretend",kou,コウ,kama(u),かま(う)
割,"proportion, divide, cut, separate",katsu,カツ,"wa(ru), wari","わ(る), わり"
身,"somebody, person",shin,シン,mi,み
費,"expense, consume",hi,ヒ,tsui(yasu),つい(やす)
付,"adhere, attach, refer to",fu,フ,tsu(keru),つ(ける)
由,"wherefore, a reason","yu, yuu","ユ, ユウ","yoshi, yo(ru)","よし, よ(る)"
説,"opinion, theory, explanation","setsu, zei","セツ, ゼイ",to(ku),と(く)
難,"difficult, trouble, accident",,ナン,"kata(i), muzuka(shii), niku(i)","かた.い, むずか.しい, にく.い"
優,"tenderness, kind, actor","yuu, u","ユウ, ウ","yasa(shii), sugu(reru)","やさ(しい), すぐ(れる)"
夫,"husband, man",fu,フ,otto,おっと
収,"income, obtain, reap, pay, supply, store",shuu,シュウ,osa(meru),おさ(める)
断,"severance, decline, refuse, apologize",dan,ダン,"ta(tsu), kotowa(ru)","た(つ), ことわ(る)"
石,stone,"seki, shaku, koku","セキ, シャク, コク",ishi,いし
違,"difference, differ",i,イ,"chiga(u), taga(u)","ちが(う), たが(う)"
消,"extinguish, turn off",shou,ショウ,"ki(eru), ke(su)","き(える), け(す)"
神,"gods, mind, soul","shin, jin","シン, ジン",kami,かみ
番,"turn, number in a series",ban,バン,tsugai,つが(い)
規,"standard, measure",ki,キ,,
術,"art, technique, skill, means, trick",jutsu,ジュツ,sube,すべ
備,"equip, provision, preparation",bi,ビ,sona(eru),そな(える)
宅,"home, house, residence",taku,タク,,
害,"harm, injury",gai,ガイ,,
配,"distribute, spouse",hai,ハイ,kuba(ru),くば(る)
警,"admonish, commandment",kei,ケイ,,
育,"bring up, grow up, raise",iku,イク,"soda(tsu), haguku(mu)","そだ(つ), はぐく(む)"
席,seat,seki,セキ,mushiro,むしろ
訪,"call on, visit",hou,ホウ,"toozu(reru), tazu(neru)","おとず(れる), たず(ねる)"
乗,ride,"jou, shou","ジョウ, ショウ",no(ru),の(る)
残,"remainder, balance",zan,ザン,noko(ru),のこ(る)
想,"concept, think, idea","sou, so","ソウ, ソ",omo(u),おも(う)
声,voice,"sei, shou","セイ, ショウ",koe,こえ
助,"help, rescue, assist",jo,ジョ,tasu(keru),たす(ける)
労,"labor, thank for",rou,ロウ,"itawa(ru), negira(u)","いたわ(る), ねぎら(う)"
例,example,rei,レイ,tato(eba),たと(えば)
然,"sort of thing, if so","zen, nen","ゼン, ネン","shika, sa","しか, さ"
限,"limit, restrict",gen,ゲン,kagi(ru),かぎ(る)
追,"chase, drive away",tsui,ツイ,o(u),お(う)
商,deal; selling; merchant,shou,ショウ,akina(u),あきな(う)
葉,"leaf, plane, needle, blade, counter for flat things",kou,ヨウ,ha,は
伝,"transmit, follow, report, legend, tradition",den,デン,tsuta(waru),つた(わる)
働,work,dou,ドウ,hatara(ku),はたら(く)
形,"shape, form, style","kei, gyou","ケイ, ギョウ","kata, katachi, nari","かた, かたち, なり"
景,"scenery, view",kei,ケイ,,
落,"fall, drop",raku,ラク,o(chiru),お(ちる)
好,"fond, pleasing, like something",kou,コウ,"kono(mu), su(ku)","この(む), す(く)"
退,"retreat, withdraw, retire, resign, repel, expel, reject",tai,タイ,"shirizo(ku), hi(ku), no(keru), do(ku)","しりぞ(く), ひ(く), の(ける), ど(く)"
頭,head,"tou, zu, to","トウ, ズ, ト","atama, kashira","あたま, かしら"
負,"defeat, negative, minus, assume a responsibility",fu,フ,"ma(keru), o(u)","ま(ける), お(う)"
渡,"transit, ferry, cross",to,ト,wata(ru),わた(る)
失,"lose, error, fault, disadvantage, loss",shitsu,シツ,"ushina(u), u(seru)","うしな(う), う(せる)"
差,"distinction, difference, variation",sa,サ,sa(su),さ(す)
末,"end, close, tip",matsu,マツ,sue,すえ
守,"guard, protect, obey","shu, su","シュ, ス","mamo(ru), mori","まも(る), もり"
若,young,jaku,ジャク,"waka(i), mo(shi)","わか(い), も(し)"
種,"species, kind, class, seed",shu,シュ,"tane, -gusa","たね, -ぐさ"
美,"beauty, beautiful","bi, mi","ビ, ミ",utsukushii,うつく(しい)
命,"fate, command","mei, myou","メイ, ミョウ",inochi,いのち
福,"blessing, fortune, luck, wealth",fuku,フク,,
望,"ambition, full moon, hope, desire, aspire to, expect",bou,ボウ,"nozo(mu), mochi","のぞ(む), もち"
非,"un-, mistake, negative",hi,ヒ,ara(zu),あら(ず)
観,"outlook, appearance, condition",kan,カン,mi(ru),み(る)
察,"guess, presume, judge",satsu,サツ,,
段,"grade, steps, stairs",dan,ダン,,
横,"sideways, side",ou,オウ,yoko,よこ
深,"deep, heighten",shin,シン,fuka(i),ふか(い)
