Kanji,Onyomi,Kunyomi,Kanji Meaning
測,ソク,はか(る),fathom; plan; scheme; measure
豊,ホウ、 ブ,ゆた(か)、 とよ,bountiful; excellent; rich
厚,コウ,あつ(い),thick; heavy; rich
齢,レイ,よわい、 とし,age
囲,イ,かこ(む),surround; enclosure; preserve; keep
卒,ソツ,そっ(する),graduate; soldier; private; die
略,リャク,ほぼ,abbreviation; omission; outline; shorten
承,ショウ,うけたまわ(る),hear; listen to; be informed; receive
順,ジュン,,obey; order; turn; occasion
岩,ガン,いわ,boulder; rock; cliff
練,レン,ね(る),"practice, gloss, train, drill, polish, refine"
軽,ケイ,かる(い),lightly; trifling; unimportant
了,リョウ,,complete; finish
庁,チョウ,やくしょ,government office
城,ジョウ、 セイ,しろ,castle
患,カン,わずら(う),afflicted; disease; suffer from; be ill
層,ソウ,,stratum; social class; layer; story; floor
版,ハン,,printing block; edition; impression; label
令,レイ,,orders; command; decree
角,カク,かど、 つの,angle; corner; square
絡,ラク,から(む),entwine; coil around; get caught in
損,ソン,そこ(なう),damage; loss; disadvantage; hurt; injure
募,ボ,つの(る),recruit; campaign
裏,リ,うら,back; reverse; inside; rear
仏,ブツ,ほとけ,Buddha; the dead
績,セキ,,exploits; achievements
築,チク,きず(く),fabricate; build; construct
貨,カ,,freight; goods; property
混,コン,ま(じる),mix; blend; confuse
昇,ショウ,のぼ(る),rise up
池,チ,いけ,pond; pool; reservoir
血,ケツ,ち,blood
温,オン,あたた(かい)、ぬく,warm
季,キ,,seasons
星,セイ,ほし,star
永,エイ,なが(い),eternity; long; lengthy
著,チョ、 チャク,あらわ(す)、いちじる(しい),renowned; publish; write
誌,シ,,document; records
庫,コ、 ク,くら,warehouse; storehouse
刊,カン,,publish; carve; engrave
像,ゾウ,,statue; picture; image; figure
香,コウ、 キョウ,かお(り),incense; smell; perfume
坂,ハン,さか,slope; incline; hill
底,テイ,そこ,bottom; sole; depth; bottom price
布,フ,ぬの、 し(く),linen; cloth; spread; distribute
寺,ジ,てら,Buddhist temple
宇,ウ,,eaves; roof; house; heaven
巨,キョ,,gigantic; big; large; great
震,シン,ふる(う),quake; shake; tremble; quiver
希,キ,まれ、 こいねが(う),hope; beg; request; pray
触,ショク,ふ(れる)、 さわ(る),contact; touch; feel; hit; proclaim; announce
依,イ、 エ,よ(る),reliant; depend on; consequently; therefore
籍,セキ,,enroll; register; membership
汚,オ,よご(す)、きたな(い)、 けが(す),dirty; pollute; disgrace; defile
枚,マイ、 バイ,,sheet of...; counter for flat thin objects
複,フク,,duplicate; double; compound; multiple
郵,ユウ,,mail; stagecoach stop
仲,チュウ,なか,go-between; relationship
栄,エイ,さか(える),flourish; prosperity; honor
札,サツ,ふだ,ticket; paper money; banknote; note
板,ハン、 バン,いた,plank; board; plate; stage
骨,コツ,ほね,skeleton; bone; remains; frame
傾,ケイ,かたむ(く),lean; incline; tilt; trend; bias
届,カイ,とど(ける),deliver; reach; arrive; report
巻,カン,ま(く)、 まき,scroll; volume; boo; roll up; coil; counter for texts
燃,ネン,も(える),burn; blaze; glow
跡,セキ,あと,tracks; mark; print; impression
包,ホウ,つつ(む)、 くる(む),wrap; pack up; cover; conceal
駐,チュウ,,stop-over; reside in; resident
弱,ジャク,よわ(い),weak; frail
紹,ショウ,,introduce; inherit; help
雇,コ,やと(う),employ; hire
替,タイ,か(わる),"exchange, spare, substitute"
預,ヨ,あず(ける),deposit; custody; leave with; entrust to
焼,ショウ,や(く),bake; burning
簡,カン,えら(ぶ),simplicity; brevity
章,ショウ,,badge; chapter; composition; poem
臓,ゾウ,はらわた,entrails; viscera; bowels
律,リツ、 リチ,,rhythm; law; regulation; control
贈,ゾウ,おく(る),presents; send; give to; award to
照,ショウ,て(る),illuminate; shine; compare
薄,ハク,うす(い),dilute; thin; weak (tea)
群,グン,む(れる)、 むら(がる),flock; group; crowd; herd
秒,ビョウ,,second
奥,オウ,おく,heart; interior
詰,キツ,つ(める),packed; close; rebuke; blame
双,ソウ,ふた,pair; set; comparison; counter for pairs
刺,シ,さ(す)、 さし、 とげ,"thorn, pierce, stab, prick, sting"
純,ジュン,,genuine; purity; innocence
翌,ヨク,,the following; next
快,カイ,こころよ(い),cheerful; pleasant; agreeable; comfortable
片,ヘン,かた,one-sided; piece
敬,ケイ,うやま(う),awe; respect; honor; revere
悩,ノウ,なや(む),trouble; worry; in pain; distress; illness
泉,セン,いずみ,spring; fountain
皮,ヒ,かわ,skin; hide; leather
漁,ギョ、 リョウ,あさ(る),fishing; fishery
荒,コウ,あら(い)、あ(れる),rough; wild
貯,チョ,た(める),savings; store
硬,コウ,かた(い),stiff; hard
埋,マイ,う(める),bury; be filled up; embedded
柱,チュウ,はしら,pillar; post; cylinder; support
祭,サイ,まつり,ritual; offer prayers; celebrate
袋,タイ,ふくろ,sack; bag; pouch
筆,ヒツ,ふで,writing brush; writing; painting brush
訓,クン,よ(む)、くん(ずる),"instruction, explanation, read"
浴,ヨク,あ(びる),bathe; be favored with; bask in
童,ドウ,わらべ,juvenile; child
宝,ホウ,たから,treasure; wealth; valuables
封,フウ、 ホウ,,seal; closing
胸,キョウ,むね,bosom; breast; chest; heart; feelings
砂,サ、 シャ,すな,sand
塩,エン,しお,salt
賢,ケン,かしこ(い),intelligent; wise; wisdom; cleverness
腕,ワン,うで,arm; ability; talent
兆,チョウ,きざ(す),trillion; sign; omen; symptoms
床,ショウ,とこ、 ゆか,bed; counter for beds; floor; padding; tatami
毛,モウ,け,fur; hair; feather
緑,リョク、 ロク,みどり,green
尊,ソン,とうと(い),revered; valuable; precious; noble
祝,シュク,いわ(う),celebrate; congratulate
柔,ジュウ、 ニュウ,やわ(らかい),tender; weakness; gentleness; softness
殿,デン,との、 どの,Mr.; hall; mansion; palace; temple; lord
濃,ノウ,こ(い),concentrated; thick; dark; undiluted
液,エキ,,fluid; liquid; juice; sap; secretion
衣,イ、 エ,ころも、 きぬ,garment; clothes; dressing
肩,ケン,かた,shoulder
零,レイ,ぜろ,zero; spill; overflow; nothing
幼,ヨウ,おさな(い),infancy; childhood
荷,カ,に,baggage; load; cargo; freight
泊,ハク,と(まる),overnight stay
黄,コウ、 オウ,き,yellow
甘,カン,あま(い),sweet; coax; pamper; sugary
臣,シン、 ジン,,retainer; subject
浅,セン,あさ(い),shallow; superficial
掃,ソウ,は(く),sweep; brush
雲,ウン,くも,cloud
掘,クツ,ほ(る),dig; delve; excavate
捨,シャ,す(てる),discard; throw away; abandon
軟,ナン,やわ(らかい),soft
沈,チン、 ジン,しず(む),sink; be submerged; subside; be depressed
凍,トウ,こお(る)、 こご(える),frozen; refrigerate
乳,ニュウ,ちち、ち,"milk, breasts"
恋,レン,こい(しい),romance; in love; yearn for; miss
紅,コウ、 ク,べに、 くれない,crimson; deep red
郊,コウ,,"outskirts, suburbs, rural area"
腰,ヨウ,こし,loins; hips; waist
炭,タン,すみ,charcoal; coal
踊,ヨウ,おど(る),jump; dance; leap; skip
冊,サツ,,counter for books; volume
勇,ユウ,いさ(む),courage; cheer up; bravery
械,カイ,,contraption; machine; instrument
菜,サイ,な,vegetable; side dish; greens
珍,チン,めずら(しい),rare; curious; strange
卵,ラン,たまご,egg
湖,コ,みずうみ,lake
喫,キツ,の(む),"consume, eat, drink, smoke"
干,カン,ほ(す)、 ひ(る),dry; parch
虫,チュウ、 キ,むし,insect; bug
刷,サツ,す(る)、 は(く),printing; print; brush
湯,トウ,ゆ,hot water; bath; hot spring
溶,ヨウ,と(ける),melt; dissolve; thaw
鉱,コウ,あらがね,mineral; ore
涙,ルイ,なみだ,tears; sympathy
匹,ヒツ,ひき,counter for small animals
孫,ソン,まご,grandchild; descendants
鋭,エイ,するど(い),pointed; sharpness; edge; weapon; sharp; violent
枝,"shi 
 シ",えだ,bough; branch; twig; limb; counter for branches
塗,ト,ぬ(る)、 ぬ(り),paint; smear; coating
軒,ケン,のき,flats; counter for houses
毒,ドク,,poison; germ; harm
叫,キョウ,さけ(ぶ),shout; exclaim; yell
拝,ハイ,おが(む),worship; adore; pray to
氷,ヒョウ,こおり、 ひ,ice; hail; freeze
乾,カン,かわ(く),drought; dry; drink up; heaven
棒,ボウ,,rod; stick; cane; pole
祈,キ,いの(る),pray; wish
拾,シュウ,ひろ(う),pick up; gather; find
粉,フン,こな,flour; powder; dust
糸,シ,いと,thread
綿,メン,わた,cotton
汗,カン,あせ,sweat; perspire
銅,ドウ,あかがね,copper
湿,シツ,しめ(る),damp; wet; moist
瓶,ビン,かめ、 へい,bottle; jar; jug; urn
咲,ショウ,さ(く),blossom; bloom
召,ショウ,め(す),"call; send for; wear; buy, to eat, to drink"
缶,カン,かま,tin can; container
隻,セキ,,vessels; counter for ships; fish; one of a pair
脂,シ,あぶら,fat; grease; lard
蒸,ジョウ、 セイ,む(す),steam; heat; foment
肌,キ,はだ,texture; skin; body; grain
耕,コウ,たがや(す),till; plow; cultivate
鈍,ドン,にぶ(い)、 なまく(ら),dull; slow; foolish; blunt
泥,デイ,どろ,mud; adhere to; attached to
隅,グウ,すみ,corner; nook
灯,トウ,ひ、とも(す),lamp; a light; counter for lights
辛,シン,から(い)、 つら(い),spicy; hot
磨,マ,みが(く),grind; polish; improve; brush (teeth)
麦,バク,むぎ,barley; wheat
姓,セイ、 ショウ,,surname
筒,トウ,つつ,cylinder; pipe; tube
鼻,ビ,はな,nose; snout
粒,リュウ,つぶ,"grains; drop;
 counter for tiny particles"
詞,シ,,part of speech; words
胃,イ,,stomach; crop
畳,ジョウ、 チョウ,たたみ,tatami mat; fold
机,キ,つくえ,desk; table
膚,フ,はだ,skin; body; texture
濯,タク,すす(ぐ),laundry; wash; rinse
塔,トウ,,pagoda; tower; steeple
沸,フツ,わ(く),seethe; boil; ferment
灰,カイ,はい,ashes; cremate
菓,カ,,candy; cakes; fruit
帽,ボウ,,cap; headgear
枯,コ,か(れる),wither; die; dry up
涼,リョウ,すず(しい),refreshing; nice and cool
舟,シュウ,ふね,boat; ship
貝,バイ,かい,shellfish
符,フ,,token; sign; mark
憎,ゾウ,にく(む),hate; detest
皿,ベイ,さら、 ざら,dish; a helping; plate
肯,コウ,がえんじ(る),agreement; consent
燥,ソウ,はしゃ(ぐ),parch; dry up
畜,チク,,livestock
坊,ボウ、 ボッ,,"boy, priest"
挟,キョウ,はさ(む),pinch; between
曇,ドン,くも(る),cloudy weather
滴,テキ,しずく、 したた(る),drip; drop
伺,シ,うかが(う),visit; ask; inquire; question
